fiscal_year,month,upi_remitter_banks,total_volume,approved,bd,td,total_debit_reversal_count,debit_reversal_success,units,notes
2025-26,February,AU small Finance Bank,81.88,88,12,0,0.42,52.09,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,Airtel Payments Bank Limited,680.62,77.78,21.97,0.25,5.28,89.92,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Poor Performance
2025-26,February,Axis Bank Ltd.,934.11,94.09,5.91,0,2.35,96.48,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,BANDHAN BANK LIMITED,92.43,94.94,4.8,0.25,0.55,88.1,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Bank Of India,644.12,91.74,7.69,0.57,3.65,86.2,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Bank of Baroda,1460.03,89.37,10.62,0.01,6.43,98.45,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,Bank of Maharashtra,229.72,92.28,7.71,0.01,0.73,91.34,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Baroda U.P. Bank,75.3,88.41,4.33,7.26,1.74,38.99,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,CHAITANYA GODAVARI GRAMEENA BANK,41.7,86.75,11.64,1.61,0.34,48.07,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,Canara Bank,1029.34,91.63,8.22,0.15,4.01,86.78,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Central Bank of India,357.01,88.96,10.24,0.8,2.44,77.2,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,City Union Bank,57.07,91.46,8.34,0.2,0.17,99.8,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,DBS Bank India Limited,29.9,91.17,8.61,0.22,0.11,76.56,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,EQUITAS SMALL FINANCE BANK,27.51,89.61,10.37,0.02,0.1,97.24,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,ESAF SMALL FINANCE BANK LTD,34.11,96.13,3.61,0.26,0.13,96.43,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2025-26,February,Federal Bank Ltd.,266.98,91.74,8.19,0.07,0.67,98.21,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Fino Payments Bank Ltd.,236.38,78.72,21.22,0.06,1.7,92.23,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Poor Performance
2025-26,February,HDFC Bank Ltd.,1525.33,94.07,5.84,0.09,4.54,80.05,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,ICICI Bank Ltd.,691.15,95.5,4.5,0,1.34,95.44,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2025-26,February,IDBI Bank Ltd.,203.74,92.83,7.17,0,0.69,82.31,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,IDFC Bank Ltd.,143.48,92.82,6.77,0.42,0.4,78.32,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,INDIA POST PAYMENTS BANK LIMITED,769.03,82.05,17.36,0.59,5.83,92.78,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,Indian Bank,703.41,90.72,9.27,0.01,2.47,95.96,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Indian Overseas Bank,369.12,91.71,8.19,0.09,1.44,90.98,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Indusind Bank Ltd.,222.25,86.77,12.92,0.3,1.2,79.29,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,JIO PAYMENTS BANK LTD,89.08,82.14,17.58,0.28,1.32,95.74,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,KERALA GRAMIN BANK,52.11,92.54,7.17,0.3,0.17,77.41,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Karnataka Bank,145.72,90.8,8.86,0.34,0.64,86.8,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Karnataka Gramin Bank,53.13,87.04,11.51,1.45,0.27,71.7,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,Karur Vysya Bank,96.54,92.17,7.69,0.14,0.32,85.04,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Kotak Mahindra Bank,1020.92,90.24,9.76,0,3.58,96.65,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Maharashtra Gramin Bank,38.34,83.03,15.54,1.43,0.24,51.88,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,NSDL Payments Bank Limited,68.12,74.79,20.33,4.88,1.45,69.67,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Poor Performance
2025-26,February,Punjab National Bank,1150.14,88.49,10.9,0.61,7.15,87.48,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,Punjab and Sind Bank,61.26,88.17,11.57,0.26,0.36,91.25,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,RBL Bank Ltd.,31.46,92.52,7.07,0.41,0.12,59.65,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Rajasthan Marudhara Gramin Bank,56.22,84.8,13.35,1.86,0.58,76.17,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,SARVA HARYANA GRAMIN BANK,26.06,89.86,7.47,2.66,0.38,49.96,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,Saraswat Co-operative Bank,30.91,94.12,5.51,0.37,0.1,80.1,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Slice Small Finance Bank,60.71,95.03,4.97,0,0.26,92.54,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2025-26,February,State Bank of India,5518.02,92.24,7.73,0.04,21.1,98.31,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,TELANGANA GRAMEENA BANK,45.12,86.99,11.67,1.33,0.21,69.3,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,Tamilnad Mercantile Bank Limited,59.48,91.34,7.97,0.7,0.2,83.94,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,The Jammu & Kashmir Bank Limited,99.71,92.09,7.77,0.14,0.54,83.17,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
